SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY OF SPARE PARTS FOR REVERSE OSMOSIS UNIT OF WATER TREATMENT SYTEM AT ABORLAN PLANT,,,DPC-MAINT-RS-2024-ABM022,"November 6, 2024",,, ,,,,FOR RFP,,APPROVED,,,,PO-008270,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY OF REPLENISHMENT CRITICAL SPARE PARTS FOR COMPRESSED AIR SYSTEM AT ABORLAN POWER PLANT,,,DPC-MAINT-RS-2024-ABM009,"August 5, 2024",,BRF-PAL-2024-01105,366815.54,,APPROVED,"February 17, 2025",PR008798,"February 13, 2025",APPROVED,"February 17, 2025","February 17, 2025","March 20, 2025",PO-008358,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,SUPPLY OF SUBMERSIBLE PUMP FOR DREDGING OF SLUDGE AT ABORLAN PLANT,,,DPC-MAINT-RS-2024-ABM010,"August 19, 2024",,BRF-PAL-2025-01264,329200,,,,PR008985,"April 3, 2025",APPROVED,,"April 8, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,SUPPLY OF REPLENISHMENT CRITICAL SPARE PARTS FOR ULTRA FILTRATION SYSTEM AT ABORLAN POWER PLANT,,,DPC-MAINT-RS-2024-ABM012,"September 19, 2024",,BRF-PAL-2024-01078,906405.34,"November 21, 2024",APPROVED,,PR008717,"November 28, 2024",APPROVED,,,"March 10, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,SUPPLY OF REPAIR PARTS FOR COMPRESSED AIR SYSTEM AT ABORLAN POWER PLANT,,,DPC-MAINT-RS-2024-ABM025,"December 13, 2024",,BRF-PAL-2025-01240,441291.2,"February 28, 2025",APPROVED,"March 24, 2025",PR008929,"March 21, 2025",APPROVED,"March 24, 2025","March 26, 2025","May 28, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,UPLOAD TO SHARE POINT,SUPPLY OF SLUDGE PUMP FOR FUEL OIL SEPARATOR AT ABORLAN PLANT,,,DPC-MAINT-RS-2025-ABM001,"February 17, 2025",,BRF-PAL-2025-01258,93800,,APPROVED,,FOR RFP,"April 3, 2025",APPROVED,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.R,SUPPLY OF REPLACEMENT PARTS FOR REVERSE OSMOSIS SYSTEM AT ABORLAN POWER PLANT (MEMBRANE),,,DPC-MAINT-RS-2024-ABM013,,,BRF-PAL-2025-01193,81736,,APPROVED,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY OF SPARE PARTS FOR OILY WASTE WATER PURIFICATION AND FILTRATION SYSTEM,,,DPC-MAINT-RS-2024-ABM003,"June 5, 2024",,, ,,,,,,,,,,PO-008272,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR P.O,REPLENISHMENT PMS PARTS OF INSTRUMENT AIR COMPRESSOR AT ABPP,,,DPPC-MAINT-2025-RS-057,"April 2, 2025",,, ,,APPROVED,,PR008977,"April 8, 2025",,,"April 8, 2025","May 5, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,REPLENISHMENT SPARES FOR COOLING TOWER AT ABPP,,,DPPC-MAINT-2025-RS-056,,,BRF-PAL-2025-01308,544393.51,"April 14, 2025",APPROVED,"May 19, 2025",PR009020,"April 30, 2025",APPROVED,"May 19, 2025","May 19, 2025",,PO-008353,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,REPLENISHMENT SPARES OF PUMP AND FILTER UNIT & PRE-LUBE PUMP AT ABPP,,,DPPC-MAINT-2025-RS-051,,,BRF-PAL-2025-01311,106653.39,"April 14, 2025",APPROVED,"May 19, 2025",PR009018,"April 30, 2025",APPROVED,"May 19, 2025","May 19, 2025","June 10, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,"Replenishment Spares/PMS of Circulating Water Pump at
ABPP",,,DPPC-MAINT-2025-RS-061,,,BRF-PAL-2025-01318,326099.66,"April 16, 2025",APPROVED,"May 19, 2025",PR009019,"April 30, 2025",APPROVED,"May 19, 2025","May 19, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,SUPPLY OF CRITICAL SPARE PARTS FOR PISTON OF WARTSILA UNITS AT ABPP,,,DPPC-MAINT-2025-RS-068,,,BRF-PAL-2025-01353,426615.61,"May 6, 2025",APPROVED,"June 24, 2025",PR009140,"June 20, 2025",APPROVED,"June 24, 2025","June 24, 2025","July 18, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,"RECOMMENDED RECONDITIONING PARTS FOR FUEL INJECTION PUMP & VALVE
AT ABPP",,,DPPC-MAINT-2025-RS-063,,,BRF-PAL-2025-01354,478621.84,"May 6, 2025",APPROVED,"July 4, 2025",PR009176,"July 2, 2025",APPROVED,"July 4, 2025","July 4, 2025","July 22, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,RECONDITIONING SPARES OF CYLINDER HEADS FOR WARTSILA UNITS AT ABPP,,,DPPC-MAINT-2025-RS-064,,,BRF-PAL-2025-01355,216003.92,"May 6, 2025",APPROVED,"June 20, 2025",PR009134,"June 19, 2025",APPROVED,"June 20, 2025","June 20, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,REPLENISHMENT OF CRITICAL SAFETY SPARES FOR TURBO CHARGER OF WARTSILA UNITS AT ABPP,,,DPPC-MAINT-2025-RS-059,,,BRF-PAL-2025-01358,292997.87,"May 9, 2025",APPROVED,"June 24, 2025",PR009139,"June 20, 2025",APPROVED,"June 24, 2025","June 24, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,"REPLENISHMENT SPARES FOR HT, LT, & LO COOLER AT ABPP",,,DPPC-MAINT-2025-RS-060,,,BRF-PAL-2025-01309,789230.26,"April 14, 2025",APPROVED,"May 9, 2025",PR009025,"April 30, 2025",APPROVED,"May 9, 2025","May 9, 2025","August 20, 2025",PO-008341,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,REPLENISHMENT SPARES OF LOPX & FOPX AT ABPP,,,DPPC-MAINT-2025-RS-055,"April 14, 2025",,BRF-PAL-2025-01310,188639.54,"April 14, 2025",APPROVED,"May 9, 2025",PR009024,"April 30, 2025",APPROVED,"May 9, 2025","May 9, 2025","May 29, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,REPLENISHMENT SPARES STARTING AIR UNIT 1 & 2 AT ABPP,,,DPPC-MAINT-2025-RS-061,,,BRF-PAL-2025-01318,326099.66,"April 16, 2025",APPROVED,"May 19, 2025",PR009019,"April 30, 2025",APPROVED,"May 19, 2025","May 19, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY CRITICAL SPARE OF CYLINDER HEADS FOR WARTSILA UNIT 1 & 2,,,DPPC-MAINT-2025-RS-077,,,BRF-PAL-2025-01430,2266964.1,"June 19, 2025",APPROVED,"July 12, 2025",PR009192,"July 10, 2025",,"July 12, 2025","July 19, 2025",, ,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,REPLACEMENT SPARES FOR REVERSE OSMOSIS UNIT OF WATER TREATMENT SYTEM AT ABORLAN PLANT,,,DPPC-MAINT-2025-RS-080, ,, , , , , , , ,APPROVED, , , ,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,REPLACEMENT OF RECIRCULATING WATER PUMP ASSEMBLY FOR ABORLAN PLANTSITE,,,DPPC-MAINT-2025-RS-081,"June 23, 2025",,BRF-PAL-2025-01452,60000,"June 23, 2025",APPROVED,,FOR RFP,,,,,, ,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY OF PARTS AND MATERIALS FOR THE INSTALLATION OF DEEPWELLS AT ABPP,,,, ,, , , , , , , ,APPROVED, , , , ,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,SUPPLY OF PARTS NEEDED FOR MAJOR PMS OF CIRCULATING WATER PUMP 1 AT ABPP,,,, ,, , , , , , , ,, , , ,PO-008061,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR DELIVERY,"SUPPLY OF SPARE PARTS FOR 8000RH, 56000RH PMS OF WARTSILA 1 AT ABPP",,,DPC-MAINT-RS-2024-ABM014,"October 1, 2024",,, ,,,"October 3, 2024",PR008605,"October 1, 2024",APPROVED,"October 3, 2024","October 7, 2024","November 21, 2024",PO-008061,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR P.O,,,,DPC-MAINT-RS-2024-ABM014,"October 1, 2024",,, ,,,"October 3, 2024",PR008605,"October 1, 2024",APPROVED,"October 3, 2024","October 7, 2024","November 21, 2024",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR P.O,"SUPPLY OF SPARE PARTS FOR 4000RH, 60000RH PMS OF WARTSILA 2 AT ABPP",,,DPC-MAINT-RS-2024-ABM015,"October 1, 2024",,, ,,,"October 3, 2024",PR008606,"October 1, 2024",APPROVED,"October 3, 2024","October 7, 2024","November 21, 2024",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR DELIVERY,,,,DPC-MAINT-RS-2024-ABM015,"October 1, 2024",,, ,,,"October 3, 2024",PR008606,"October 1, 2024",APPROVED,"October 3, 2024","October 7, 2024","November 21, 2024",FPO-000209,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 2ND QUARTER REPLENISHMENT OF STARTING AIR & INSTRUMENT AIR COMPRESSORS PMS PARTS AT ABPP,,,DPC-MAINT-RS-2024-ABM041,"March 6, 2025",,, ,,,,PR008920,,APPROVED,,"April 8, 2025","April 20, 2025",PO-008332,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,SUPPLY OF MAJOR OVERHAULING PARTS(10K PMS) OF STARTING AIR COMPRESSOR 1 & 2 AT ABORLAN BUNKER PP,,,DPPC-MMAINT-2025-RS-043,"March 17, 2025",,, ,,,,PR008933,"March 6, 2025",APPROVED,,"March 26, 2025","May 23, 2025",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,Supplemental PMS Parts for Starting Air Compressors of ABPP,,,DPPC-MAINT-2025-RS-044,"March 5, 2025",,, ,,,,PR008938,,APPROVED,,"April 3, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR P.O,Supply of Spare Parts for 8000 RH PMS 2025 of Wartsila 2 at ABPP,,,DPPC-MAINT-2025-RS-075,,,, ,,,"June 13, 2025",PR009109,"June 5, 2025",APPROVED,"June 13, 2025","June 13, 2025","August 5, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,ABPP - Wartsila,FOR DELIVERY,Supply of Spare Parts for 12000 RH PMS 2025 of Wartsila 1 at ABPP,,,DPPC-MAINT-2025-RS-074,,,, ,,,"June 13, 2025",PR009108,"June 5, 2025",,"June 13, 2025","June 13, 2025","July 13, 2025",PO-008131,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 1ST QUARTER REAGENTS REQUIREMENT FOR OIL TESTING AT ABPP,,,DPC-MAINT-RS-2024-ABM027,,,, ,,,"February 17, 2025",PR008771,"December 27, 2024",APPROVED,"February 17, 2025","February 17, 2025",UNKOWN DATE, ,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 1ST 2025 QUARTER REAGENTS REQUIREMENT FOR WATER TESTING AT ABPP,,,, ,, , , , , , , ,APPROVED, , , , ,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 1ST QUARTER PMS CONSUMBLES FOR DPC HIGH SPEED GENSETS,,,DPC-MAINT-RS-2025-ABM035, ,, , , , , , , ,APPROVED, , , ,PO-008180,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 2nd Quarter Reagents Requirement for Water Testing at ABPP,,,DPC-MAINT-RS-2024-ABM037,"March 6, 2025",,, ,,,"March 6, 2025",PR008915,"March 6, 2025",APPROVED,"March 6, 2025","March 6, 2025",UNKOWN DATE,PO-008181,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 2nd Quarter Reagents Requirement for Oil Testing at ABPP,,,DPC-MAINT-RS-2024-ABM038,"March 6, 2025",,, ,,,"March 10, 2025",PR008917,"March 10, 2025",APPROVED,"March 10, 2025","March 10, 2025",UNKOWN DATE,PO-008268,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR DELIVERY,2025 2nd Quarter Chemical Requirement for Regular Auxiliary Units' Dosing at ABPP,,,DPC-MAINT-RS-2024-ABM039,"March 6, 2025",,, ,,,"March 10, 2025",PR008918,"March 10, 2025",APPROVED,"March 10, 2025","March 10, 2025",UNKOWN DATE,PO-008315,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR P.O,2025 2nd Quarter Lubricant Requirement for Aborlan Power Plant,,,DPC-MAINT-RS-2024-ABM040,"March 6, 2025",,, ,,,"March 13, 2025",PR008919,"March 13, 2025",APPROVED,"March 13, 2025","April 4, 2025","March 4, 2025",,,,,,,,
,OTHERS,Mechanical,ABPP - Wartsila,FOR P.O,2025 2nd Quarter Workshop Consumables for Aborlan,,,DPPC-MMAINT-2025-RS-042,"March 17, 2025",,, ,,,"March 17, 2025",PR-008928,"March 17, 2025",APPROVED,"March 17, 2025","June 20, 2025","June 20, 2025",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,ABPP - Wartsila,FOR P.O,2nd Quarter PMS Filters for Aborlan Bunker PP for 2025,,,DPPC-MAINT-2025-RS-053,"April 2, 2025",,, ,,,"April 8, 2025",PR008976,"April 8, 2025",APPROVED,"April 8, 2025","April 8, 2025","July 24, 2025",,,,,,,,
,,Mechanical,ABPP - Wartsila,FOR P.O,2025 3RD QUARTER PMS CONSUMABLES FOR DPC HIGH SPEED GENSETS,,,DPPC-MMAINT- RS-M027,"June 4, 2025",,, ,,,"June 9, 2025",PR009111,"June 4, 2025",APPROVED,"June 9, 2025","June 9, 2025","July 24, 2025",,,,,,,,
,,Mechanical,ABPP - Man,FOR P.O,SUPPLY OF 2000 RH PMS PARTS FOR MAN UNITS 1 & 2 AT ABPP,,,DPPC-MAINT-2025-RS-046,"March 27, 2025",,BRF-PAL-2025-01304,884954.23,"April 4, 2025",APPROVED,"May 9, 2025",PR009023,"April 30, 2025",APPROVED,"May 9, 2025","May 9, 2025","May 28, 2025",,,,,,,,
,,Mechanical,ABPP - Man,FOR P.O,REPLENISHMENT OF SAFETY SPARES FOR MAN UNITS 1 & 2 AT ABPP,,,DPPC-MAINT-2025-RS-048,"March 27, 2025",,BRF-PAL-2025-01363,2568800.44,"May 15, 2025",APPROVED,"May 3, 2025",PR009089,"May 30, 2025",APPROVED,"May 3, 2025","May 3, 2025","July 3, 2025",,,,,,,,
,,Mechanical,ABPP - Man,FOR DELIVERY,CRITICAL SUPPLY OF RECONDITIONING PARTS FOR FUEL INJECTION PUMP,,,DPPC-MAINT-2025-RS-072,"May 23, 2025",,, ,,,"June 20, 2025",PR009133,"May 30, 2025",APPROVED,"June 20, 2025","June 20, 2025","July 3, 2025",FPO-00219,,,,,,,
,,Mechanical,ABPP - Man,FOR DELIVERY,Supply of PMS Intermediate Service Kit of Lubricating Oil Purifier of MAN Units at ABPP,,,RS-M021,"May 6, 2025",,, ,,,,PR009105,"June 4, 2025",APPROVED,,"June 9, 2025",,FPO-000220,,,,,,,
,,Mechanical,ABPP - Man,FOR TECHNICAL EVALUATION,Supply of PMS Intermediate Service Kit of Fuel Oil Purifier of MAN Units at ABPP,,,RS-M022,"May 6, 2025",,, ,,,,PR009106,"June 4, 2025",APPROVED,,"June 9, 2025",,,,,,,,,
,,Mechanical,ABPP - Man,FOR TECHNICAL EVALUATION,CRITICAL SAFETY SPARES OF FUEL INJECTION PUMP FOR MAN UNIT ENGINE 1 & 2 AT ABPP,,,DPPC-MAINT-2025-RS-069,"May 27, 2025",,BRF-PAL-2025-01387,1426360,"May 27, 2025",APPROVED,"June 7, 2025",PR009081,"May 30, 2025",APPROVED,"June 7, 2025","June 7, 2025",,,,,,,,,
,,Mechanical,ABPP - Man,FOR P.O,SUPPLY OF FILTERS FOR ENGINE AND AUXILIARY MAN UNIT 1 & 2,,,DPPC-MAINT-2025-RS-076,"June 11, 2025",,, ,,,"June 18, 2025",PR009115,"June 11, 2025",APPROVED,"June 18, 2025","June 25, 2025","August 20, 2025",,,,,,,,
,,Mechanical,ABPP - Man,FOR P.O,SUPPLY CRITICAL SPARE OF CYLINDER HEADS FOR MAN UNIT 1 & 2,,,DPPC-MAINT-2025-RS-073,"May 31, 2025",,BRF-PAL-2025-01397,1974277.6,"May 31, 2025",APPROVED,"July 4, 2025",PR009175,"July 2, 2025",APPROVED,"July 4, 2025","July 4, 2025","July 22, 2025",,,,,,,,
,,Mechanical,ABPP - Man,FOR TECHNICAL EVALUATION,PMS PARTS FOR HFO TRANSFER PUMP OF MAN UNIT 1 & 2 AT ABPP,,,DPPC-MAINT-2025-RS-083,"July 15, 2025",,, ,,,"July 22, 2025",PR009200,"July 15, 2025",APPROVED,"July 22, 2025","July 22, 2025",,,,,,,,,
,,Mechanical,ABPP - Man,FOR TECHNICAL EVALUATION,SUPPLY OF CRITICAL SPARES FOR FUEL OIL BOOSTER UNIT AUTO & MANUAL FILTER FOR MAN UNIT AT ABPP,,,DPPC-MAINT-2025-RS-082,"July 10, 2025",,BRF-PAL-2025-01490,For final bidding,"July 10, 2025",APPROVED,"July 22, 2025",PR009197,"July 15, 2025",APPROVED,"July 22, 2025","July 22, 2025",,,,,,,,,
,,Mechanical,ABPP - Wartsila,FOR BRF APPROVAL,ADDITIONAL SUBMERSIBLE SLUDGE PUMP INDENDED FOR IRAWAN POWERPLANT,,,DPPC-MMAINT-2025-RS-085,"July 24, 2025",,BRF-PAL-2025-01513,For final bidding,"July 24, 2025",N/A,,,,,,,,,,,,,,,
,,Mechanical,ABPP - Man,FOR BRF ROUTING,SUPPLY OF OIL PUMP FOR TRANSFERRING AND TOPPING UP LUBE OIL AT ABORLAN POWER PLANT,,,DPPC-MMAINT-2025-RS-086,"July 24, 2025",,BRF-PAL-2025-01514,202080,,FOR APPROVAL,,,,,,,,,,,,,,,
,,Mechanical,ABPP - Wartsila,FOR TECHNICAL EVALUATION,SUPPLY OF PARTS AND MATERIALS FOR THE INSTALLATION OF DEEPWELLS AT ABPP,,,DPPC-MMAINT- RS-M032,,,BRF-PAL-2025-01436,1730557.39,,APPROVED,"July 10, 2025",PR009188 ,"July 8, 2025",,"July 10, 2025","August 1, 2025",,,,,,,,,
,,Mechanical,ABPP - Man,FOR DELIVERY,Supply of Critical Spare Parts for Resilient Mounting System of MAN 18V36 Units 1 & 2 at ABPP,,,DPPC-MMAINT-RS-090,"July 25, 2025",,, ,,FOR APPROVAL,"July 29, 2025",PR009255,"July 25, 2025",,"July 29, 2025","July 29, 2025",, ,,,,,,,
